Text,Review
Made very sturdy.,1
Worked great!.,1
The ear buds only play music in one ear.,0
Dont waste your money...,0
Will order from them again!,1
If you plan to use this in a car forget about it.,0
I found this product to be waaay too big.,0
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1
I'm very disappointed with my decision.,0
Integrated seamlessly with the Motorola RAZR phone.,1
Definitely a bargain.,1
The price was very good and with the free shipping and all it was a good purchase.,1
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0
I purcashed this for the car charger and it does not work.,0
This phone is slim and light and the display is beautiful.,1
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1
Absolutely great.,1
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1
i got this phone around the end of may and i'm completely unhappy with it.,0
It is very comfortable on the ear.,1
It has been a winner for us.,1
)Setup couldn't have been simpler.,1
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1
Could not get strong enough signal.,0
Iam very pleased with my purchase.,1
Bad Quality.,0
Gets the job done.,1
Great audio!.,1
Basically the service was very bad.,0
it did not work in my cell phone plug i am very up set with the charger!.,0
The BT headset was such a disapoinment.,0
It is so small and you don't even realize that it is there after a while of getting used to it.,1
The accompanied software is almost brilliant.,1
Headset works great & was packaged nicely to avoid any damage.,1
!I definitly recommend!!,1
Buyer--Be Very Careful!!!!!.,0
The majority of the Logitech earbud headsets failed.,0
Very good stuff for the price.,1
My headset works just peachy-keen.,1
In my house I was getting dropped coverage upstairs and no coverage in my basement.,0
Voice recognition is tremendous!,1
What a waste.,0
I was not happy with this item.,0
very disappointed.,0
The phone takes FOREVER to charge like 2 to 5 hours literally.,0
I got this phone on reccomendation from a relative and I'm glad I did.,1
What a waste of time!,0
Its reception is very very poor.,0
Items stated as included from the description ARE NOT INCLUDED.,0
I Was Hoping for More.,0
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1
I've bought $5 wired headphones that sound better than these.,0
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1
This item is fantastic and works perfectly!,1
And I just love the colors!,1
W810i is just SUPERB.,1
Great charger.,1
This is essentially a communications tool that does not communicate.,0
Great Value.,1
Doesn't work at all.. I bougth it for my L7c and its not working.,0
doesn't last long.,0
One thing I hate is the mode set button at the side.,0
EXCELLENT SERVICE!!!!!!!!.,1
Thank you for wasting my money.,0
How can that be?The audio quality is poor.,0
The iGo chargers and tips are really great.,1
The file browser offers all the options that one needs.Handsfree is great.,1
Superb Phone on a Great Network.,1
It only recognizes the Phone as its storage device.,0
Don't buy this product.,0
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0
The sound quality is good and functionality is awesome.,1
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0
Incredible!.,1
Design Flaw?.,0
Great phone!.,1
Waste of 13 bucks.,0
The replacement died in a few weeks.,0
Any ring tone..Overall good phone to buy..,1
Lately they have been extremely nice and helpful on the phone.,1
I have had problems wit hit dropping signal and more.,0
Not impressed.,0
You'll love how thin it is.,1
Bad Choice.,0
The pleather case doesn't fit.,0
All in all I think it was a good investment.,1
It makes very strange ticking noises before it ends the call.,0
The best electronics of the available FM Transmitters.,1
Battery lasts only a few hours.,0
I've had this for nearly 2 years and it has worked great for me.,1
Good transmit audio.,1
We are sending it back.,0
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0
Great price also!,1
fast service.,1
I would highly recommend this.,1
I would recommend this.,1
WORST PHONE EVER.,0
I'm still infatuated with this phone.,1
Freezes frequently4.,0
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0
There's a horrible tick sound in the background on all my calls that I have never experienced before.,0
These are certainly very comfortable and functionality is decent.,1
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1
I'm a bit disappointed.,0
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0
The battery is completely useless to me.,0
What a big waste of time.,0
Don't waste your $$$ on this one.,0
Great sound and service.,1
Really pleased with this product so far.,1
One of my favorite purchases ever.,1
best bluetooth on the market.,1
Authentic leather with nice shine and comfort .I recommend you this case !!,1
I was very excited to get this headset because I thought it was really cute.,1
Do not make the same mistake as me.,0
Big Disappointment with calendar sync.,0
the phone was unusable and was not new.,0
Worst Customer Service Ever.,0
It defeats the purpose of a bluetooth headset.,0
Worth every penny.,1
Excellent wallet type phone case.,1
Nice headphones for the price and they work great!,1
Internet is excrutiatingly slow.,0
O my gosh the best phone I have ever had.,1
It's very attractive and appears to be of good quality.,1
I love all the features and form factor.,1
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0
poor quality and service.,0
Great Earpiece.,1
Excellent hands free tool.,1
Great for using with your home stereo.,1
Good product - incredible value.,1
Only had this a month but it's worked flawlessly so far.,1
Works great.,1
Absolutel junk.,0
THAT one didn't work either.,0
Battery life is real good.,1
Returned 8 hours later.,0
It's a great item.,1
Don't waste your money!.,0
Love this headset!,1
Worked perfectly!,1
Unreliable - I'm giving up.,0
I gave it 5 stars because of the sound quality.,1
Avoid this one if you can.,0
Reversible plug works great.,1
I wasted my little money with this earpiece.,0
Very good phone.,1
Comfort for our whole family.,1
I love this bluetooth!,1
I am very impressed with this headset from Plantronics.,1
I got it because it was so small and adorable.,1
Great phone!.,1
I wouldn't recommend buying this product.,0
Piece of Junk.,0
Poorly contstruct hinge.,0
Great Phone.,1
Don't buy it.,0
Excellent Phone.,1
DO NOT PURCHASE THIS PHONE.,0
The voice recognition thru the handset is excellent.,1
This is hands down the best phone I've ever had.,1
This one works and was priced right.,1
Customer service was terrible.,0
Battery life still not long enough in Motorola Razor V3i.,0
Sending it back.,0
Now I know that I made a wise decision.,1
Someone shouldve invented this sooner.,1
Good price.,1
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1
I received it quickly and it works great!!,1
Has been working great.,1
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0
They do not care about the consumer one bit.,0
The instruction manual is lacking.,0
Also its slim enough to fit into my alarm clock docking station without removing the case.,1
Phone now holds charge like it did when it was new.,1
The battery is unreliable as well as the service use antena.,0
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0
We have gotten a lot of compliments on it.,1
This is definitely a must have if your state does not allow cell phone usage while driving.,1
I want my money back.,0
I love this device.,1
I am also very happy with the price.,1
I ordered this product first and was unhappy with it immediately.,0
The Ngage is still lacking in earbuds.,0
I was able to do voice dialing in the car with no problem.,1
The plug did not work very well.,0
AMAZON SUCKS.,0
Rip off---- Over charge shipping.,0
VERY comfortable.,1
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1
The reception is excellent!,1
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0
Obviously there is a problem with the adhesive.,0
Very disappointing.,0
It is practically useless and did not add any kind of boost to my reception after I bought it.,0
Excellent sound quality.,1
Was not happy.,0
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0
New Battery works great in phone.,1
Worst customer service.,0
It definitely was not as good as my S11.,1
awesome device.,1
Waste of money.,0
Love This Phone.,1
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1
Display is excellent and camera is as good as any from that year.,1
Battery life is also great!,1
The worst phone I've ever had.... Only had it for a few months.,0
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0
Protects the phone on all sides.,1
This is a VERY average phone with bad battery life that operates on a weak network.,0
Soyo technology sucks.,0
Great Hands Free Device.,1
Same problem as others have mentioned.,0
After trying many many handsfree gadgets this is the one that finally works well.,1
Magical Help.,1
The worst piece of crap ever along with the Verizon customer service.,0
Poor sound quality.,0
The best phone in market :).,1
It worked very well.,1
The company shipped my product very promptly and it works well.,1
Exactly what I wanted.,1
The picture resolution is far below what other comparably-priced phones are offering today.,0
This is a great deal.,1
I highly recommend these and encourage people to give them a try.,1
Better than you'd expect.,1
Great product and price.,1
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0
what a disappointment,0
Very prompt service.,1
Excellent product for the price.,1
Very pleased with this headset.,1
don't waste your money and time.,0
I especially love the long battery life.,1
Works great.,1
Plantronics Bluetooth Excelent Buy.,1
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0
I'll be looking for a new earpiece.,0
I highly recommend this device to everyone!,1
Jawbone Era is awesome too!,1
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0
After a year the battery went completely dead on my headset.,0
An Awesome New Look For Fall 2000!.,1
This is the first phone I've had that has been so cheaply made.,0
The plastic breaks really easy on this clip.,0
Price is good too.,1
Don't make the same mistake I did.,0
Oh and I forgot to also mention the weird color effect it has on your phone.,0
I'm using it with an iriver SPINN (with case) and it fits fine.,1
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0
IT'S REALLY EASY.,1
My Sanyo has survived dozens of drops on blacktop without ill effect.,1
Fantastic earphones.,1
It finds my cell phone right away when I enter the car.,1
Low Quality.,0
I highly recommend this modest priced cellular phone.,1
But it does get better reception and clarity than any phone I've had before.,1
Warning - Stay away.,0
I wish I could return the unit and get back my money.,0
Awsome Device Works Great!!.,1
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0
Very Displeased.,0
They made this case too small and is very difficult to install.,0
Restored my phone to like new performance.,1
Does not fit.,0
Very happy with this product.,1
There's really nothing bad I can say about this headset.,0
Portable and it works.,1
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0
Not good when wearing a hat or sunglasses.,0
Timely shipment and quality product.,1
Nice solid keyboard.,1
Very well made and fits my Surefire GX2 perfectly.,1
Horrible phone.,0
BT50 battery junk!.,0
We would recommend these to others.,1
Cant get the software to work with my computer.,0
Disappointed!.,0
poor voice clarity.,0
The battery works great!,1
No buyers remorse on this one!.,0
Very disappointed in AccessoryOne.,0
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0
"Looks great and is strong.""",1
The update procedure is difficult and cumbersome.,0
Disappointment.. I hate anything that goes in my ear.,0
Great software for Motorolas.,1
The delivery was on time.,1
Very easy to use.,1
The volume switch rocketed out of the unit to a destination unknown.,0
I'd like to return it.,0
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1
You won't regret it!,1
I love this phone!.,1
A Disappointment.,0
Its not user friendly.,0
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0
This results in the phone being either stuck at max volume or mute.,0
This PDA rocks.,1
I had Verizon 2 years ago and really liked their service.,1
Pretty piece of junk.,0
Plug was the wrong size.,0
Works as described.,1
Save your money.... I've had this item for 11 months now.,0
Bad Purchase.,0
WELL IM SATISFIED.,1
This battery is an excellent bargain!,1
Defective crap.,0
I would have given no star if I was able.,0
I wear glasses and it fits fine with them.,1
I would not recommend this item to anyone.,0
The holster that arrived did not match the photo in the ad.,0
great...no problems at all!.,1
This frog phone charm is adorable and very eye catching.,1
You never know if you pushed it hard enough or the right number of times for the function you want or not.,0
The sound is clear and the people I talk to on it are amazed at the quality too.,1
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1
Mobile Phone Tools are a must have.,1
I am very impressed with the job that Motorola did on the sturdiness of this phone.,1
The phone is sturdy and waterproof.,1
I am not impressed with this and i would not recommend this item to anyone.,0
My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0
Thanks again to Amazon for having the things I need for a good price!,1
I ended up sliding it on the edge of my pants or back pockets instead.,1
I had to go to a store and bought a new NOKIA phone which is working great.,1
Works great!.,1
REALLY UGLY.,0
The noise shield is incrediable.,1
No real improvement.,0
Razr Battery - Good buy.,1
Keep up the good work Amazon!!,1
They refuse to refund or replace.,0
Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0
So I basically threw my money out the window for nothing.,0
Great case and price!,1
All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,0
The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1
none of the new ones have ever quite worked properly.,0
I am glad I purchased it.,1
I've missed numerous calls because of this reason.,0
Yet Plantronincs continues to use the same flawed charger design.,0
Disapointing Results.,0
Cumbersome design.,0
Great Product.,1
It's A PIECE OF CRAP!,0
This fixes all the problems.,1
Worst ever.,0
I am very happy,1
"I can barely ever hear on it and am constantly saying ""what?""",0
The battery life is highly unacceptable.,0
That company is a joke.,0
It does everything the description said it would.,1
Due to this happening on every call I was forced to stop using this headset.,0
Better than expected.,1
Battery is holding up well.,1
Also difficult to put on.I'd recommend avoiding this product.,0
I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,0
Sprint - terrible customer service.,0
Linked to my phone without effort.,1
THey are so cool!,1
Easy to use.,1
Better Than New.,1
Piece of trash.,0
A pretty good product.,1
This is a great phone!.,1
Their Research and Development division obviously knows what they're doing.,1
Those phones are working just fine now.,1
I am more than happy with this product.,1
Poor Construction.,0
This is infuriating.,0
Sprint charges for this service.,0
It fits my ear well and is comfortable on.,1
It doesn't work in Europe or Asia.,0
clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1
I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1
I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1
the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0
the charger worked for about a week and then completely stopped charging my phone.,0
Poor product.,0
However I needed some better instructions.,0
You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,0
Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,1
DO NOT BUY DO NOT BUYIT SUCKS,0
This is a great product..... sure beats using your fingers!.,1
All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,1
Very Dissapointing Performance.,0
Don't make the same mistake that I did and please don't buy this phone.,0
This phone might well be the worst I've ever had in any brand.,0
Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,0
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1
Don't bother - go to the store.,0
Linksys should have some way to exchange a bad phone for a refurb unit or something!,0
Phone is sturdy as all nokia bar phones are.,1
Great phone.,1
I'm pleased.,1
Battery is terrible.,0
I found the product to be easy to set up and use.,1
The earpiece on this is too large or too heavy...it keeps falling out of my ear.,0
Utter crap.. Sound quality is TERRIBLE.,0
Talk about USELESS customer service.,0
"It felt too light and ""tinny."".",0
This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,0
I'm happy about this purchase- good quality and low price.,1
I love the look and feel of Samsung flipphones.,1
Its well-designed and very sharp -- the blue is a very nice color.,1
Does everything it should and more.,1
I could not recommend these more.,0
Nice Sound.,1
Much less than the jawbone I was going to replace it with.,1
Setup went very smoothly.,1
its extremely slow and takes forever to do anything with it.,0
"A must study for anyone interested in the ""worst sins"" of industrial design.",0
The first thing that happened was that the tracking was off.,0
Then I had to continue pairing it periodically since it somehow kept dropping.,0
Can't upload ringtones from a third party.,0
Truly awful.,0
The volume for the ringer is REAL good (you have choices how loud).,1
And none of the tones is acceptable.,0
camera color balance is AWFUL.,0
I love the ringtones because they are so upbeat!,1
Chinese Forgeries Abound!.,0
Easy to pair with my Samsung Cell.,1
The instructions didn't explain that a microphone jack could be used.,0
i would advise to not purchase this item it never worked very well.,0
Too bad you have to pay up to $$$ a month for the service!,0
Works well.,1
The nokia CA-42 USB cable did not work with my phone.,0
Clear crisp sound.,1
The design might be ergonomic in theory but I could not stand having these in my ear.,0
Do NOT buy if you want to use the holster.,0
The phone can also take great pictures and even video clips.,1
It doesn't make you look cool.,0
lightweight and works well.,1
So just beware.,0
I love this cable - it allows me to connect any mini-USB device to my PC.,1
So anyone near you will hear part of your conversation.,0
This is cool because most cases are just open there allowing the screen to get all scratched up.,1
I bought this phone as a replacement for my StarTac and have regretted it since.,0
Appears to actually outperform the original battery from China that came with my V325i.,1
Can't store anything but phone numbers to SIM.,0
Poor quality.,0
"jabra ear gels ""R"" the best!.",1
Not worth it.,0
The phone crashed completely and now I have to get it replaced.,0
It was a great phone.,1
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,0
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1
This is simply the BEST bluetooth headset for sound quality!,1
Think it over when you plan to own this one!This sure is the last MOTO phone for me!,0
I have always used corded headsets and the freedom from the wireless is very helpful.,1
It has everything I need and I couldn't ask for more.,1
After receiving and using the product for just 2 days it broke.,0
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1
None of the three sizes they sent with the headset would stay in my ears.,0
T-Mobile has the best customer service anywhere.,1
Arrived quickly and much less expensive than others being sold.,1
We have tried 2 units and they both failed within 2 months.. Pros,0
The design is very good.4.,1
I great reception all the time.,1
I would highly recommend this product.,1
It dit not work most of the time with my Nokia 5320.,0
disappointing.,0
Blue Ant is easy to use.,1
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,1
The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,0
Then a few days later the a puff of smoke came out of the phone while in use.,0
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1
The nano stated it.My son was dissapointed.,0
The sound quality is excellent as well.,1
Its the best headset I have used.,1
Would not reccommend.,0
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1
Just what I wanted.,1
This particular model would not work with my Motorola Q smartphone.,0
wont work right or atleast for me.,0
Great product.,1
Crisp and Clear.,1
The text messaging feature is really tricky to use.,0
I'm really disappointed all I have now is a charger that doesn't work.,0
Painful on the ear.,0
Lasted one day and then blew up.,0
disappointed.,0
Kind of flops around.,0
The screen does get smudged easily because it touches your ear and face.,0
What a piece of junk.. I lose more calls on this phone.,0
Item Does Not Match Picture.,0
The only thing that disappoint me is the infra red port (irda).,0
